"YEAR_MONTH","SFDC_ACCOUNT_ID","SWIMLANE_MAP","AGE_IN_MONTHS","SUBSCRIBED_ROUTER_COUNT","TERM_MAP","CHURNED_ACCOUNT_FLAG","LOGIN_COUNT","TOTAL_MINUTES","Account_NCM_Permissions","Account_Subscription_Change_License","Account_Subscriptions","Dashboard_Clients_Tab","Devices_Remote_Connect_Connect_to_Device_UI","Devices_Subnav_Network_Interfaces","Devices_Interfaces_Interface_Details","Devices_Toggle_Image","Footer_Contact_Cradlepoint_Link","Footer_Knowledge_Base_Link","Groups_Add","Groups_Commands_Menu","Groups_Configuration_Edit","Groups_Dashboard","Groups_Firmware_Menu","Groups_Group_Data_Usage","Groups_Settings","Groups_Refresh_Button","Notifications","Help_Panel_Button","NetCloud_Perimeter","Network_Interfaces_Commands_Menu","Network_Interfaces_Export_Menu","Network_Interfaces_Filter_All","Reports_Report_Type_Data_Usage","Reports_Report_Type_Signal_Quality","Reports_Run_Report_Button","Routers_Commands_Ping","Routers_Commands_Reboot","Routers_Commands_Restore_to_Defaults","Routers_Commands_Speed_Test","Routers_Commands_Unregister","Routers_Commands_Menu","Routers_Configuration_Edit","Routers_Configuration_Resume_Updates","Routers_Configuration_Summary","Routers_Configuration_Menu","Routers_Device_Dashboard_Link","Routers_Firmware_Retry_Upgrade","Routers_Move","Routers_NetCloud_OS_Menu","Routers_Remote_Connect_Console","Routers_Remote_Connect_Menu","Scheduler_Subnav_Schedules","Scheduler_Tasks_Add","Scheduler_Tasks_Edit","Churn_Probability"
2020-08-01,"00150000010i075AAA","110000",652,2871,"011",0,46,2023,1,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,1,0,0,0,0,0,61,0,1,14,122,14,1,2,40,110,0,21,4,105,103,0,0,0,-9.74697753064469e-18
2021-06-01,"0015000000cLAOJAA4","110000",658,1322,"110",0,196,2738,3,0,7,0,0,5,0,1,1,1,4,0,2,1,1,0,0,0,5,2,4,0,1,0,0,0,0,8,32,1,3,3,81,135,18,8,311,268,0,10,3,55,60,0,0,0,-9.04333032070159e-18
2021-01-01,"0015000000hWpEoAAK","111100",656,2665,"110",0,501,1877,0,0,0,15,16,18,0,0,0,0,6,1,8,6,1,3,1,0,4,2,17,0,0,0,0,0,0,0,19,1,0,2,32,64,17,3,128,34,0,52,4,92,126,0,0,0,-9.63747311122365e-18
2021-02-01,"0013800001QB380AAD","111100",676,910,"111",0,612,2537,11,33,46,0,46,1,6,2,0,0,9,2,21,8,7,0,4,2,5,0,214,0,0,0,0,0,0,14,4,1,5,0,68,52,34,5,140,145,5,19,13,1,128,0,0,0,-8.74300631892311e-18
2020-04-01,"0013800001JyjzWAAR","000100",610,636,"110",0,17,273,4,0,0,8,4,3,0,0,0,0,5,3,1,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,2,3,0,14,57,0,0,1,1,0,8,0,1,1,-8.02418027856522e-18
2020-05-01,"00138000018bPzcAAE","111100",653,777,"110",0,731,3396,0,0,0,2,25,4,2,2,0,0,3,1,8,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16,4,4,1,43,330,15,3,608,232,0,57,35,49,104,0,0,0,-9.44340092234874e-18
2021-06-01,"00138000018bLXRAA2","000100",137,1374,"000",0,44,439,0,0,0,0,8,4,0,0,0,0,0,1,8,6,4,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,11,26,14,4,72,10,3,3,11,0,8,0,0,0,-9.41521166586412e-18
2020-08-01,"0015000000QC8VOAA1","001100",746,1945,"110",0,233,825,10,0,6,0,55,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,14,0,25,16,0,91,7,1,52,0,0,0,-1.00375437128708e-17
2020-10-01,"0015000000U6jeQAAR","111000",683,1113,"110",0,322,1087,15,0,0,0,6,7,2,18,0,0,0,0,2,1,0,0,0,0,2,0,6,0,0,1,0,0,0,0,14,0,0,0,25,0,17,0,20,194,0,113,14,0,6,0,0,0,-1.04083408558608e-17
2020-04-01,"0015000000kjWrtAAE","111000",654,771,"100",0,35,1065,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,23,0,0,143,169,5,3,0,8,164,0,39,1,0,0,0,0,0,-8.90563664479593e-18
